mean_rp,rel_std_rp,k,Df,Np,agg_num,Rve,Rg,eps_agg,h5_file,h5_key
0.015,0.1,0.95,2.45,2050,3,0.19157207736902898,0.35328520186713186,0.9258950596068777,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02050/3
0.015,0.1,0.95,2.45,2100,3,0.19298745671388548,0.3579762363849442,0.9271798564387521,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02100/3
0.015,0.1,0.95,2.45,2150,3,0.19500377075674843,0.3607222033738715,0.9265761288317327,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02150/3
0.015,0.1,0.95,2.45,2200,3,0.19719451621617864,0.3669097962437087,0.9278504786682609,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02200/3
0.015,0.1,0.95,2.45,2250,3,0.1977320968307829,0.36880979840613043,0.9283772422682015,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02250/3
0.015,0.1,0.95,2.45,2300,3,0.1991579611707721,0.37037344500390595,0.9277395990275574,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02300/3
0.015,0.1,0.95,2.45,2350,3,0.20138329088779888,0.37547904972559987,0.92829655100984,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02350/3
0.015,0.1,0.95,2.45,2400,3,0.20320571897679965,0.37829899580594567,0.9279674002004559,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02400/3
0.015,0.1,0.95,2.45,2450,3,0.20417152043129908,0.38075085340213766,0.9283378707310765,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02450/3
0.015,0.1,0.95,2.45,2500,3,0.20533690606495272,0.3846822858332304,0.9293159617213406,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02500/3
0.015,0.1,0.95,2.45,2550,3,0.20628167042870907,0.38800201042000015,0.9301595761014202,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02550/3
0.015,0.1,0.95,2.45,2600,3,0.20827486771523152,0.39089564335117144,0.9297000546948798,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02600/3
0.015,0.1,0.95,2.45,2650,3,0.2088961259919616,0.39262278221642044,0.9300010468875305,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02650/3
0.015,0.1,0.95,2.45,2700,3,0.21024392928177255,0.3967966883049321,0.9308657664080212,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02700/3
0.015,0.1,0.95,2.45,2750,3,0.2117737410344641,0.3985576679948318,0.9302780228631414,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02750/3
0.015,0.1,0.95,2.45,2800,3,0.21341457604410433,0.40329678809887864,0.9311308345910517,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02800/3
0.015,0.1,0.95,2.5,350,3,0.10655232039140701,0.16260147413169557,0.8692197463691257,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00350/3
0.015,0.1,0.95,2.5,400,3,0.11171718406580654,0.17329372534527673,0.8754802320212647,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00400/3
0.015,0.1,0.95,2.5,450,3,0.11593356750430435,0.18154101782894833,0.8789596480065632,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00450/3
0.015,0.1,0.95,2.5,500,3,0.11966202439101883,0.1884201214320359,0.880954200825726,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00500/3
0.015,0.1,0.95,2.5,550,3,0.12515110489710435,0.20065693828323086,0.8872365392406544,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00550/3
0.015,0.1,0.95,2.5,600,3,0.12711375273538958,0.2012967325249972,0.8829707772640579,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00600/3
0.015,0.1,0.95,2.5,650,3,0.130646407811794,0.20916572898239197,0.8867475230390222,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00650/3
0.015,0.1,0.95,2.5,700,3,0.13451335425810096,0.21771974744032144,0.8903951890005068,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00700/3
0.015,0.1,0.95,2.5,750,3,0.13795938952945505,0.2237991626838508,0.891130733875544,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00750/3
0.015,0.1,0.95,2.5,800,3,0.1401717504490699,0.2303551323184204,0.8952836038051831,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00800/3
0.015,0.1,0.95,2.5,850,3,0.14378122646373134,0.23295724030043813,0.8907290324501065,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00850/3
0.015,0.1,0.95,2.5,900,3,0.14680015082956807,0.24148117815128112,0.8955865314904099,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00900/3
0.015,0.1,0.95,2.5,950,3,0.14922691974520155,0.24507454954860802,0.8950762605674217,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/00950/3
0.015,0.1,0.95,2.5,1000,3,0.15086540790822853,0.2485166638429286,0.8960249004307262,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/01000/3
0.015,0.1,0.95,2.5,1050,3,0.15436671380481895,0.2556185418283502,0.8976445921881577,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.50/01050/3
